Step;Value
4706;-118.19999694824219
17555;14.100000381469727
22633;29.600000381469727
36369;11.800000190734863
39430;18.700000762939453
42257;14.300000190734863
48566;11.800000190734863
50819;9.100000381469727
64250;5.599999904632568
66503;-1.0
81523;-21.899999618530273
89639;-10.800000190734863
94842;7.400000095367432
126475;128.6999969482422
152344;309.0
179103;529.2000122070312
183757;580.7999877929688
198177;730.5
214806;919.2999877929688
221324;995.7999877929688
223904;1027.4000244140625
225046;1042.300048828125
230283;1115.0
252978;1341.5999755859375
278844;1589.300048828125
285336;1590.5
303174;1608.0
310282;1641.699951171875
316008;1632.4000244140625
323820;1643.199951171875
328535;1634.0999755859375
331017;1635.4000244140625
352771;1644.199951171875
369967;1655.300048828125
372228;1643.199951171875
380810;1627.800048828125
393688;1597.800048828125
403476;1602.4000244140625
411831;1601.5
428252;1617.300048828125
432534;1593.0
489626;1683.199951171875
490611;1671.300048828125
508931;1708.300048828125
512006;1720.699951171875
515017;1720.199951171875
531006;1737.0999755859375
533654;1737.300048828125
534699;1737.4000244140625
545137;1751.800048828125
562322;1738.800048828125
564348;1726.199951171875
584586;1730.0
600901;1746.199951171875
605908;1746.300048828125
632313;1718.5
641625;1729.800048828125
647831;1718.0
649727;1717.800048828125
654859;1705.5999755859375
655829;1705.5999755859375
670492;1687.199951171875
688172;1701.4000244140625
690370;1689.800048828125
701462;1705.199951171875
708019;1703.800048828125
708965;1705.0
711023;1705.0
713855;1716.4000244140625
715746;1718.0999755859375
727652;1733.4000244140625
736630;1721.199951171875
748472;1722.4000244140625
752463;1747.5
775650;1805.300048828125
779538;1805.199951171875
782869;1803.199951171875
783857;1804.5999755859375
790746;1795.199951171875
800130;1768.800048828125
803490;1777.4000244140625
807290;1756.0999755859375
811874;1768.199951171875
815665;1760.0
823505;1769.199951171875
827438;1760.0
829601;1759.9000244140625
831569;1770.4000244140625
838444;1785.199951171875
842950;1762.5999755859375
844777;1763.699951171875
849294;1715.0
850559;1727.5999755859375
853798;1739.9000244140625
857497;1714.0
862325;1721.300048828125
863210;1734.199951171875
884052;1686.9000244140625
887542;1692.699951171875
917884;1689.5999755859375
923760;1677.5
929401;1691.5
941671;1694.0999755859375
945298;1693.800048828125
951465;1692.800048828125
953540;1679.800048828125
958866;1690.5999755859375
960855;1691.0
973586;1721.300048828125
974459;1721.4000244140625
983038;1745.800048828125
985216;1756.9000244140625
994044;1756.199951171875
998318;1743.199951171875
1002415;1727.699951171875
1011257;1713.800048828125
1012131;1714.300048828125
1017374;1702.5999755859375
1018239;1703.300048828125
1023087;1675.9000244140625
1034167;1660.5999755859375
1038803;1680.4000244140625
1041697;1692.300048828125
1050958;1670.9000244140625
1062846;1665.0
1080670;1652.0
1092439;1637.5999755859375
1097646;1676.5
1101247;1674.199951171875
1103016;1675.800048828125
1106432;1686.800048828125
1111680;1684.800048828125
1116559;1680.4000244140625
1126639;1666.5
1132083;1657.4000244140625
1136569;1635.800048828125
1146511;1633.5
1151546;1610.300048828125
1185252;1598.199951171875
1189049;1584.300048828125
1189831;1563.0999755859375
1190402;1561.800048828125
1207652;1548.800048828125
1218964;1565.199951171875
1219845;1565.0999755859375
1225566;1574.5
1231929;1572.0
1255923;1574.699951171875
1267288;1578.5999755859375
1277788;1577.300048828125
1280369;1578.699951171875
1283208;1587.699951171875
1303878;1575.300048828125
1309336;1573.4000244140625
1315884;1561.9000244140625
1320786;1562.300048828125
1330346;1587.0999755859375
1336214;1573.5999755859375
1338948;1575.699951171875
1349765;1530.800048828125
1352218;1512.699951171875
1355908;1519.5
1356767;1519.4000244140625
1402987;1537.5999755859375
1406012;1538.699951171875
1409948;1549.5999755859375
1410808;1549.4000244140625
1432492;1547.0
1443591;1550.800048828125
1445282;1549.199951171875
1449326;1581.5
1454004;1586.800048828125
1458263;1598.800048828125
1482701;1576.0
1483605;1564.5999755859375
1494724;1600.800048828125
1502185;1604.199951171875
1506433;1601.199951171875
1508457;1591.5999755859375
1525431;1584.5999755859375
1540519;1558.4000244140625
1544328;1555.5999755859375
1569673;1522.9000244140625
1586268;1546.800048828125
1587137;1547.699951171875
1603324;1544.5
1606974;1545.9000244140625
1623639;1572.199951171875
1624510;1575.199951171875
1637383;1565.800048828125
1646751;1573.5999755859375
1651442;1571.199951171875
1656101;1548.800048828125
1658619;1532.4000244140625
1663482;1526.0
1666648;1527.800048828125
1681194;1519.699951171875
1690218;1522.199951171875
1697401;1526.0999755859375
1703738;1504.199951171875
1713445;1503.699951171875
1717168;1491.800048828125
1718045;1481.199951171875
1719994;1480.5999755859375
1722306;1481.300048828125
1725071;1482.4000244140625
1732802;1482.199951171875
1741849;1483.5999755859375
1752052;1482.5999755859375
1756282;1484.9000244140625
1758075;1485.0
1761117;1497.699951171875
1765979;1513.300048828125
1768693;1519.5999755859375
1769627;1520.699951171875
1770538;1520.800048828125
1790702;1518.0999755859375
1799425;1517.0999755859375
1805045;1527.0
1812655;1535.199951171875
1813587;1535.0
1823100;1546.5999755859375
1831100;1531.300048828125
1844936;1530.9000244140625
1857019;1528.5
1860848;1516.4000244140625
1872528;1504.5
1876718;1491.4000244140625
1888271;1491.0
1904072;1453.300048828125
1907744;1453.9000244140625
1914631;1439.5
1916667;1429.800048828125
1958479;1417.199951171875
1964560;1412.5
1981493;1451.199951171875
1983927;1449.5
1985854;1448.5999755859375
1993131;1454.0
1996491;1428.0
1999047;1426.0999755859375
2019730;1424.199951171875
2033966;1441.300048828125
2037546;1464.0999755859375
2057736;1440.0999755859375
2064403;1438.199951171875
2074443;1440.4000244140625
2091087;1424.5999755859375
2097352;1425.5
2125452;1492.9000244140625
2139089;1484.5
2139950;1483.199951171875
2143167;1491.5
2144028;1502.800048828125
2147049;1505.5
2150267;1506.199951171875
2153939;1459.800048828125
2158467;1446.300048828125
2164003;1434.699951171875
2165668;1435.699951171875
2181137;1429.5
2218774;1435.0999755859375
2222618;1409.0999755859375
2223780;1422.5999755859375
2228473;1441.0999755859375
2237039;1459.699951171875
2248322;1489.5999755859375
2258086;1524.300048828125
2259481;1547.0
2261433;1558.300048828125
2262537;1558.300048828125
2266279;1590.199951171875
2269624;1613.5
2279273;1624.5999755859375
2283363;1626.0999755859375
2296282;1686.4000244140625
2301821;1686.4000244140625
2306152;1733.4000244140625
2307010;1733.300048828125
2309473;1736.5999755859375
2311983;1754.9000244140625
2313766;1752.5
2315092;1765.5999755859375
2315994;1778.4000244140625
2322660;1763.5999755859375
2325780;1776.4000244140625
2330867;1763.0999755859375
2347861;1824.800048828125
2357732;1800.0
2362749;1789.0
2367728;1808.4000244140625
2371215;1798.300048828125
2372165;1798.699951171875
2383641;1790.4000244140625
2384512;1791.0
2396387;1825.0999755859375
2405392;1789.300048828125
2413626;1765.199951171875
2431164;1780.300048828125
2446278;1776.9000244140625
2447012;1789.800048828125
2449196;1775.4000244140625
2457403;1800.9000244140625
2460776;1827.699951171875
2476795;1783.800048828125
2486553;1727.199951171875
2493551;1740.300048828125
2498593;1755.0
2499803;1755.5999755859375
2502204;1754.300048828125
2504161;1757.0
2508110;1749.699951171875
2528082;1777.0999755859375
2528964;1776.9000244140625
2537035;1778.699951171875
2538912;1778.4000244140625
2542806;1755.199951171875
2554010;1795.0
2559832;1795.300048828125
2565058;1823.5999755859375
2566605;1851.0
2578555;1869.4000244140625
2581621;1868.5999755859375
2583357;1882.800048828125
2594085;1885.5999755859375
2604920;1887.0
2614540;1872.5999755859375
2615412;1872.300048828125
2616278;1861.5
2621902;1910.800048828125
2626137;1920.800048828125
2638321;1980.800048828125
2643009;1968.5999755859375
2643660;1982.4000244140625
2649909;2009.0
2654606;2010.9000244140625
2658813;2033.800048828125
2661640;2054.5
2678670;2145.10009765625
2680227;2156.800048828125
2684169;2206.39990234375
2687279;2233.699951171875
2693503;2291.0
2697303;2336.199951171875
2703890;2351.199951171875
2709431;2399.60009765625
2711469;2410.800048828125
2719527;2463.300048828125
2719840;2463.699951171875
2720690;2488.199951171875
2736725;2546.39990234375
2737162;2542.800048828125
2737573;2542.699951171875
2740769;2563.39990234375
2747246;2579.0
2754348;2566.699951171875
2756014;2561.60009765625
2757217;2546.800048828125
2773502;2544.89990234375
2782876;2532.699951171875
2787688;2536.300048828125
2792131;2498.300048828125
2797182;2496.0
2798347;2491.89990234375
2807589;2536.699951171875
2808196;2537.39990234375
2808486;2537.89990234375
2808963;2539.0
2815673;2557.39990234375
2824471;2547.39990234375
2834016;2519.699951171875
2838102;2525.5
2849601;2562.10009765625
2853318;2561.300048828125
2853912;2561.39990234375
2854922;2561.199951171875
2856577;2563.10009765625
2856790;2562.89990234375
2861338;2566.0
2862838;2572.60009765625
2865653;2581.0
2866409;2581.60009765625
